Launch_Tag	Launch_Date	Piece	Type	Name	PLName	JCAT	SatOwner	SatState	LV_Type	Flight_ID	Platform	Launch_Site	Launch_Pad	Ascent_Site	Ascent_Pad	Agency	LVState	Launch_Code	LTCite
1957 ALP  	1957 Oct  4 1928:34	1957 ALP 2	P           	1-y ISZ	PS-1	S00002	OKB1	SU	Sputnik 8K71PS	M1-PS	-	NIIP-5	LC1	-	-	MVS	SU	OS	Energiya
1957 BET  	1957 Nov  3 0230:42	1957 BET 1	P A         	2-y ISZ	PS-2	S00003	OKB1	SU	Sputnik 8K71PS	M1-2PS	-	NIIP-5	LC1	-	-	MVS	SU	OS	Grahn-WWW
1957-F01  	1957 Dec  6 1644:35	1957-F01	P   F       	Vanguard	Vanguard Test Satellite F	F00002	NRL	US	Vanguard	TV-3	-	CC	LC18A	-	-	NRL	US	OF	Vang-ER9948
1958 ALP  	1958 Feb  1 0347:56	1958 ALP	P A         	Explorer I	Explorer 1	S00004	ABMA/JPLA	US	Jupiter C	RS-29    UE	-	CC	LC26A	-	-	ABMA	US	OS	JunoFam
1958-F01  	1958 Feb  5 0733	1958-F01	P   F       	Vanguard	Vanguard Test Satellite G	F00004	NRL	US	Vanguard	TV-3BU	-	CC	LC18A	-	-	NRL	US	OF	Vang-ER9955
1958-F02  	1958 Mar  5 1827:57	1958-F02	P   F       	Explorer II	Explorer 2	F00006	ABMA/JPL	US	Jupiter C	RS/CC-26 UV	-	CC	LC26A	-	-	ABMA	US	OF	JunoFam
1958 BET  	1958 Mar 17 1215:41	1958 BET 2	P           	Vanguard I	Vanguard Test Satellite H	S00005	NRL	US	Vanguard	TV-4	-	CC	LC18A	-	-	NRL	US	OS	SP-4202
1958 GAM  	1958 Mar 26 1738:03	1958 GAM	P A         	Explorer III	Explorer 3	S00006	ABMA/JPLA	US	Jupiter C	RS-24    UT	-	CC	LC5	-	-	ABMA	US	OS	JunoFam
1958-F03  	1958 Apr 27 0901	1958-F03	P   F       	ISZ	D No. 1	F00008	NII88	SU	Sputnik 8A91	B1-2	-	NIIP-5	LC1	-	-	MVS	SU	OF	NezavB
1958-F04  	1958 Apr 29 0253:00	1958-F04	P   F       	Vanguard	X-ray satellite	F00011	NRL	US	Vanguard	TV-5	-	CC	LC18A	-	-	NRL	US	OF	Vang-ER10300
1958 DEL  	1958 May 15 0700:35	1958 DEL 2	P           	3-y Sovetskiy ISZ	D No. 2	S00008	OKB1	SU	Sputnik 8A91	B1-1	-	NIIP-5	LC1	-	-	MVS	SU	OS	NezavB
1958-F05  	1958 May 28 0346:20	1958-F05	P   F       	Vanguard	Lyman Alpha satellite	F00013	NRL	US	Vanguard	SLV-1	-	CC	LC18A	-	-	NRL	US	OF	Vang-ER10301
1958-F06  	1958 Jun 26 0500:52	1958-F06	P   F       	Vanguard	X-ray satellite	F00015	NRL	US	Vanguard	SLV-2	-	CC	LC18A	-	-	NRL	US	OF	Vang-ER10302
1958-F07  	1958 Jul 25	1958-F07	P   F       	NOTS 1	Diagnostic Payload 1	F00018	NOTS	US	NOTS EV1	1	F-4D-747	NOTS	RW03/21?	WTR	LP4	NOTS	US	OF	NOTS
1958 EPS  	1958 Jul 26 1500:57	1958 EPS	P A         	Explorer IV	Explorer 4	S00009	ABMA/JPLA	US	Jupiter C	RS/CC-44 TT	-	CC	LC5	-	-	ABMA	US	OS	JunoFam
1958-F08  	1958 Aug 12	1958-F08	P   F       	NOTS 2	Diagnostic Payload 2	F00021	NOTS	US	NOTS EV1	2	F-4D-747	NOTS	RW03/21?	WTR	LP4	NOTS	US	OF	NOTS
1958-F09  	1958 Aug 17 1218	1958-F09	P   F       	Pioneer Lunar Probe	Able I	F00023	ARPA/AFBMD	US	Thor Able I	127	-	CC	LC17A	-	-	AFBMD	US	OF	NASA-5-25-59W-V3
1958-F10  	1958 Aug 22	1958-F10	P   F       	NOTS 3	Diagnostic Payload 3	F00027	NOTS	US	NOTS EV1	3	F-4D-747	NOTS	RW03/21?	WTR	LP4	NOTS	US	OF	NOTS
1958-F11  	1958 Aug 24 0617:22	1958-F11	P   F       	Explorer V	Explorer 5	F00029	ABMA/JPL	US	Jupiter C	RS/CC-47 HN	-	CC	LC5	-	-	ABMA	US	OF	JunoFam
1958-F12  	1958 Aug 25	1958-F12	P   F       	NOTS 4	Radiation Payload 1	F00032	NOTS	US	NOTS EV1	4	F-4D-747	NOTS	RW03/21?	WTR	LP4	NOTS	US	OF	NOTS
1958-F13  	1958 Aug 26	1958-F13	P   F       	NOTS 5	Radiation Payload 2	F00035	NOTS	US	NOTS EV1	5	F-4D-747	NOTS	RW03/21?	WTR	LP4	NOTS	US	OF	NOTS
1958-F14  	1958 Aug 28	1958-F14	P   F       	NOTS 6	Radiation Payload 3	F00038	NOTS	US	NOTS EV1	6	F-4D-747	NOTS	RW03/21?	WTR	LP4	NOTS	US	OF	NOTS
1958-F15  	1958 Sep 23 0740:23	1958-F15	P   F       	AMS	E-1 No. 1	F00040	NII88	SU	Vostok-L 8K72	B1-3	-	NIIP-5	LC1	-	-	MVS	SU	OF	AK15
1958-U01  	1958 Sep 26 1538	1958-U01	P   F       	Vanguard	Cloud cover satellite	F00042	NRL	US	Vanguard	SLV-3	-	CC	LC18A	-	-	NRL	US	OF	Vang-ER10303
1958 ETA  	1958 Oct 11 0842:13	1958 ETA	P           	Pioneer I	Able II	S00110	NASA/TRW	US	Thor Able I	130	-	CC	LC17A	-	-	AFBMD	US	OS	NASA-5-25-59W-V3
