"","shell_index","Year","HHI","invHHI","total_sats","shannon_entropy","mean_HHI","sd_HHI","HHI_category","shell_index_2"
"1","(100,150]",1997,1,1,14,0,0.704540149393091,0.281102981525395,"High concentration","(100,150]"
"2","(100,150]",1998,0.374095989480605,2.67311072056239,39,1.34787397451493,0.51671624832971,0.313080423767452,"High concentration","(100,150]"
"3","(100,150]",1999,0.3825,2.61437908496732,40,1.32938490474731,0.56996527581009,0.350810901754474,"High concentration","(100,150]"
"4","(100,150]",2000,0.332612222823148,3.00650406504065,43,1.56632146511996,0.56200986015644,0.3577926718126,"High concentration","(100,150]"
"5","(100,150]",2001,0.318181818181818,3.14285714285714,44,1.63919458903951,0.549487882865002,0.362660654100032,"High concentration","(100,150]"
"6","(100,150]",2002,0.297792586422324,3.35804195804196,49,1.74033603991935,0.515553454223114,0.348184424907805,"High concentration","(100,150]"
"7","(100,150]",2003,0.275663206459054,3.62761506276151,51,1.86471330622682,0.502359014669301,0.359049033817287,"High concentration","(100,150]"
"8","(100,150]",2004,0.265532544378698,3.76601671309192,52,1.92388355220888,0.493322137517287,0.366027586944559,"High concentration","(100,150]"
"9","(100,150]",2005,0.246913580246914,4.05,54,2.03671129376108,0.501199482432006,0.374614563686727,"Moderate concentration","(100,150]"
"10","(100,150]",2006,0.230229591836735,4.34349030470914,56,2.14280296481778,0.490254553381179,0.37274191825276,"Moderate concentration","(100,150]"
"11","(100,150]",2007,0.238347107438017,4.19556171983356,55,2.09055630066206,0.49096719765656,0.375291511333195,"Moderate concentration","(100,150]"
"12","(100,150]",2008,0.231505102040816,4.31955922865014,56,2.10870399151627,0.479041723639866,0.379282537407623,"Moderate concentration","(100,150]"
"13","(100,150]",2009,0.217003567181926,4.60821917808219,58,2.18598498438475,0.466201004513217,0.36728573766644,"Moderate concentration","(100,150]"
"14","(100,150]",2010,0.224376731301939,4.45679012345679,57,2.13570801314373,0.440039066143625,0.347191077361681,"Moderate concentration","(100,150]"
"15","(100,150]",2011,0.239669421487603,4.17241379310345,55,2.0558373460278,0.436721044671429,0.350814434741792,"Moderate concentration","(100,150]"
"16","(100,150]",2012,0.231505102040816,4.31955922865014,56,2.10870399151627,0.425528214772263,0.351846938358798,"Moderate concentration","(100,150]"
"17","(100,150]",2013,0.223761157279163,4.46905089408528,57,2.16002896684759,0.419212957993705,0.356117077277977,"Moderate concentration","(100,150]"
"18","(100,150]",2014,0.224376731301939,4.45679012345679,57,2.13570801314373,0.41543506358973,0.359546823382539,"Moderate concentration","(100,150]"
"19","(100,150]",2015,0.247599451303155,4.0387811634349,54,2.01103917596256,0.404469838158729,0.346099091159712,"Moderate concentration","(100,150]"
"20","(100,150]",2016,0.310018903591682,3.22560975609756,46,1.77874751338237,0.411077311160837,0.343981936764758,"High concentration","(100,150]"
"21","(100,150]",2017,0.482448979591837,2.07275803722504,35,1.2968943286154,0.443575121021126,0.331652205531654,"High concentration","(100,150]"
"22","(100,150]",2018,0.453125,2.20689655172414,32,1.29448125790374,0.437049370519471,0.334087741923987,"High concentration","(100,150]"
"23","(100,150]",2019,0.306122448979592,3.26666666666667,14,1.46806020349905,0.424164755632978,0.337286954708797,"High concentration","(100,150]"
"24","(100,150]",2020,0.540816326530612,1.84905660377358,14,0.895332665968091,0.466136710954083,0.337775203961213,"High concentration","(100,150]"
"25","(100,150]",2021,0.34375,2.90909090909091,8,1.2130075659799,0.460968391998355,0.345060978137073,"High concentration","(100,150]"
"26","(100,150]",2022,0.375,2.66666666666667,4,1.03972077083992,0.472309901875277,0.32980405363513,"High concentration","(100,150]"
"27","(150,200]",1995,1,1,1,0,0.803589743589744,0.317718899572089,"High concentration","(150,200]"
"28","(150,200]",1996,1,1,1,0,0.742006802721088,0.312338290696502,"High concentration","(150,200]"
"29","(150,200]",1997,0.59375,1.68421052631579,8,0.735621939758795,0.704540149393091,0.281102981525395,"High concentration","(150,200]"
"30","(150,200]",1998,0.346597462514418,2.88519134775374,102,1.82324290372834,0.51671624832971,0.313080423767452,"High concentration","(150,200]"
"31","(150,200]",1999,0.346597462514418,2.88519134775374,102,1.82324290372834,0.56996527581009,0.350810901754474,"High concentration","(150,200]"
"32","(150,200]",2000,0.346597462514418,2.88519134775374,102,1.82324290372834,0.56200986015644,0.3577926718126,"High concentration","(150,200]"
"33","(150,200]",2001,0.339994344424545,2.94122539506515,103,1.86020033993153,0.549487882865002,0.362660654100032,"High concentration","(150,200]"
"34","(150,200]",2002,0.327874688501246,3.0499457111835,106,1.89302018275685,0.515553454223114,0.348184424907805,"High concentration","(150,200]"
"35","(150,200]",2003,0.321862171368678,3.10691994572592,107,1.92830168863337,0.502359014669301,0.359049033817287,"High concentration","(150,200]"
"36","(150,200]",2004,0.316186556927298,3.16268980477223,108,1.95018031078373,0.493322137517287,0.366027586944559,"High concentration","(150,200]"
"37","(150,200]",2005,0.316186556927298,3.16268980477223,108,1.95018031078373,0.501199482432006,0.374614563686727,"High concentration","(150,200]"
"38","(150,200]",2006,0.295121173469388,3.38843868179363,112,2.0376410290124,0.490254553381179,0.37274191825276,"High concentration","(150,200]"
"39","(150,200]",2007,0.289999216853317,3.44828517418309,113,2.07025438211356,0.49096719765656,0.375291511333195,"High concentration","(150,200]"
"40","(150,200]",2008,0.285010772545399,3.50863930885529,114,2.10237319983606,0.479041723639866,0.379282537407623,"High concentration","(150,200]"
"41","(150,200]",2009,0.258333333333333,3.87096774193548,120,2.24350834581224,0.466201004513217,0.36728573766644,"High concentration","(150,200]"
"42","(150,200]",2010,0.258333333333333,3.87096774193548,120,2.24350834581224,0.440039066143625,0.347191077361681,"High concentration","(150,200]"
"43","(150,200]",2011,0.266015512783683,3.75917926565875,118,2.23501020032894,0.436721044671429,0.350814434741792,"High concentration","(150,200]"
"44","(150,200]",2012,0.27007085981445,3.70273194482012,117,2.24037308894499,0.425528214772263,0.351846938358798,"High concentration","(150,200]"
"45","(150,200]",2013,0.213299175762976,4.68825065274151,134,2.47453096538703,0.419212957993705,0.356117077277977,"Moderate concentration","(150,200]"
"46","(150,200]",2014,0.216462208151959,4.61974405850091,133,2.4488199264807,0.41543506358973,0.359546823382539,"Moderate concentration","(150,200]"
"47","(150,200]",2015,0.226390532544379,4.41714584422373,130,2.36966226713589,0.404469838158729,0.346099091159712,"Moderate concentration","(150,200]"
"48","(150,200]",2016,0.255094194540561,3.92012057272042,102,2.20399233936568,0.411077311160837,0.343981936764758,"High concentration","(150,200]"
"49","(150,200]",2017,0.247165532879819,4.04587155963303,84,2.08595350339486,0.443575121021126,0.331652205531654,"Moderate concentration","(150,200]"
"50","(150,200]",2018,0.244375,4.0920716112532,80,2.08342928463285,0.437049370519471,0.334087741923987,"Moderate concentration","(150,200]"
"51","(150,200]",2019,0.156179266636487,6.40289855072464,47,2.37713383505687,0.424164755632978,0.337286954708797,"Moderate concentration","(150,200]"
"52","(150,200]",2020,0.342560553633218,2.91919191919192,51,1.52074017658839,0.466136710954083,0.337775203961213,"High concentration","(150,200]"
"53","(150,200]",2021,0.256172839506173,3.90361445783133,36,1.58977975036166,0.460968391998355,0.345060978137073,"High concentration","(150,200]"
"54","(150,200]",2022,0.357277882797732,2.7989417989418,23,1.25105833179593,0.472309901875277,0.32980405363513,"High concentration","(150,200]"
"55","(200,250]",1998,0.555555555555556,1.8,3,0.636514168294813,0.51671624832971,0.313080423767452,"High concentration","(200,250]"
"56","(200,250]",1999,0.555555555555556,1.8,3,0.636514168294813,0.56996527581009,0.350810901754474,"High concentration","(200,250]"
"57","(200,250]",2000,0.555555555555556,1.8,3,0.636514168294813,0.56200986015644,0.3577926718126,"High concentration","(200,250]"
"58","(200,250]",2001,0.555555555555556,1.8,3,0.636514168294813,0.549487882865002,0.362660654100032,"High concentration","(200,250]"
"59","(200,250]",2002,0.555555555555556,1.8,3,0.636514168294813,0.515553454223114,0.348184424907805,"High concentration","(200,250]"
"60","(200,250]",2003,0.28,3.57142857142857,5,1.33217904021012,0.502359014669301,0.359049033817287,"High concentration","(200,250]"
"61","(200,250]",2004,0.28,3.57142857142857,5,1.33217904021012,0.493322137517287,0.366027586944559,"High concentration","(200,250]"
"62","(200,250]",2005,0.28,3.57142857142857,5,1.33217904021012,0.501199482432006,0.374614563686727,"High concentration","(200,250]"
"63","(200,250]",2006,0.224489795918367,4.45454545454546,7,1.5498260458782,0.490254553381179,0.37274191825276,"Moderate concentration","(200,250]"
"64","(200,250]",2007,0.277777777777778,3.6,6,1.32966134885476,0.49096719765656,0.375291511333195,"High concentration","(200,250]"
"65","(200,250]",2008,0.224489795918367,4.45454545454546,7,1.5498260458782,0.479041723639866,0.379282537407623,"Moderate concentration","(200,250]"
"66","(200,250]",2009,0.21875,4.57142857142857,8,1.55958115625988,0.466201004513217,0.36728573766644,"Moderate concentration","(200,250]"
"67","(200,250]",2010,0.224489795918367,4.45454545454546,7,1.5498260458782,0.440039066143625,0.347191077361681,"Moderate concentration","(200,250]"
"68","(200,250]",2011,0.224489795918367,4.45454545454546,7,1.5498260458782,0.436721044671429,0.350814434741792,"Moderate concentration","(200,250]"
"69","(200,250]",2012,0.277777777777778,3.6,6,1.32966134885476,0.425528214772263,0.351846938358798,"High concentration","(200,250]"
"70","(200,250]",2013,0.21875,4.57142857142857,8,1.55958115625988,0.419212957993705,0.356117077277977,"Moderate concentration","(200,250]"
