"","Year","sats","type"
"1",1974,1,"All"
"2",1975,1,"All"
"3",1976,1,"All"
"4",1977,1,"All"
"5",1978,1,"All"
"6",1979,1,"All"
"7",1980,1,"All"
"8",1981,1,"All"
"9",1982,1,"All"
"10",1983,1,"All"
"11",1984,3,"All"
"12",1985,3,"All"
"13",1986,3,"All"
"14",1987,3,"All"
"15",1988,3,"All"
"16",1989,5,"All"
"17",1990,10,"All"
"18",1991,16,"All"
"19",1992,16,"All"
"20",1993,21,"All"
"21",1994,23,"All"
"22",1995,30,"All"
"23",1996,39,"All"
"24",1997,94,"All"
"25",1998,337,"All"
"26",1999,391,"All"
"27",2000,406,"All"
"28",2001,427,"All"
"29",2002,456,"All"
"30",2003,485,"All"
"31",2004,510,"All"
"32",2005,531,"All"
"33",2006,562,"All"
"34",2007,605,"All"
"35",2008,646,"All"
"36",2009,703,"All"
"37",2010,741,"All"
"38",2011,781,"All"
"39",2012,821,"All"
"40",2013,939,"All"
"41",2014,1039,"All"
"42",2015,1121,"All"
"43",2016,1166,"All"
"44",2017,1432,"All"
"45",2018,1699,"All"
"46",2019,1927,"All"
"47",2020,3047,"All"
"48",2021,4554,"All"
"49",2022,5096,"All"
