"","shell_index","Year","sats","type"
"1","(100,150]",1997,14,"Shell"
"2","(100,150]",1998,39,"Shell"
"3","(100,150]",1999,40,"Shell"
"4","(100,150]",2000,43,"Shell"
"5","(100,150]",2001,44,"Shell"
"6","(100,150]",2002,49,"Shell"
"7","(100,150]",2003,51,"Shell"
"8","(100,150]",2004,52,"Shell"
"9","(100,150]",2005,54,"Shell"
"10","(100,150]",2006,56,"Shell"
"11","(100,150]",2007,55,"Shell"
"12","(100,150]",2008,56,"Shell"
"13","(100,150]",2009,58,"Shell"
"14","(100,150]",2010,57,"Shell"
"15","(100,150]",2011,55,"Shell"
"16","(100,150]",2012,56,"Shell"
"17","(100,150]",2013,57,"Shell"
"18","(100,150]",2014,57,"Shell"
"19","(100,150]",2015,54,"Shell"
"20","(100,150]",2016,46,"Shell"
"21","(100,150]",2017,35,"Shell"
"22","(100,150]",2018,32,"Shell"
"23","(100,150]",2019,14,"Shell"
"24","(100,150]",2020,14,"Shell"
"25","(100,150]",2021,8,"Shell"
"26","(100,150]",2022,4,"Shell"
"27","(150,200]",1995,1,"Shell"
"28","(150,200]",1996,1,"Shell"
"29","(150,200]",1997,8,"Shell"
"30","(150,200]",1998,102,"Shell"
"31","(150,200]",1999,102,"Shell"
"32","(150,200]",2000,102,"Shell"
"33","(150,200]",2001,103,"Shell"
"34","(150,200]",2002,106,"Shell"
"35","(150,200]",2003,107,"Shell"
"36","(150,200]",2004,108,"Shell"
"37","(150,200]",2005,108,"Shell"
"38","(150,200]",2006,112,"Shell"
"39","(150,200]",2007,113,"Shell"
"40","(150,200]",2008,114,"Shell"
"41","(150,200]",2009,120,"Shell"
"42","(150,200]",2010,120,"Shell"
"43","(150,200]",2011,118,"Shell"
"44","(150,200]",2012,117,"Shell"
"45","(150,200]",2013,134,"Shell"
"46","(150,200]",2014,133,"Shell"
"47","(150,200]",2015,130,"Shell"
"48","(150,200]",2016,102,"Shell"
"49","(150,200]",2017,84,"Shell"
"50","(150,200]",2018,80,"Shell"
"51","(150,200]",2019,47,"Shell"
"52","(150,200]",2020,51,"Shell"
"53","(150,200]",2021,36,"Shell"
"54","(150,200]",2022,23,"Shell"
"55","(200,250]",1998,3,"Shell"
"56","(200,250]",1999,3,"Shell"
"57","(200,250]",2000,3,"Shell"
"58","(200,250]",2001,3,"Shell"
"59","(200,250]",2002,3,"Shell"
"60","(200,250]",2003,5,"Shell"
"61","(200,250]",2004,5,"Shell"
"62","(200,250]",2005,5,"Shell"
"63","(200,250]",2006,7,"Shell"
"64","(200,250]",2007,6,"Shell"
"65","(200,250]",2008,7,"Shell"
"66","(200,250]",2009,8,"Shell"
"67","(200,250]",2010,7,"Shell"
"68","(200,250]",2011,7,"Shell"
"69","(200,250]",2012,6,"Shell"
"70","(200,250]",2013,8,"Shell"
"71","(200,250]",2014,8,"Shell"
"72","(200,250]",2015,6,"Shell"
"73","(200,250]",2016,6,"Shell"
"74","(200,250]",2017,12,"Shell"
"75","(200,250]",2018,11,"Shell"
"76","(200,250]",2019,13,"Shell"
"77","(200,250]",2020,14,"Shell"
"78","(200,250]",2021,15,"Shell"
"79","(200,250]",2022,9,"Shell"
"80","(250,300]",1998,8,"Shell"
"81","(250,300]",1999,8,"Shell"
"82","(250,300]",2000,8,"Shell"
"83","(250,300]",2001,8,"Shell"
"84","(250,300]",2002,8,"Shell"
"85","(250,300]",2003,9,"Shell"
"86","(250,300]",2004,8,"Shell"
"87","(250,300]",2005,8,"Shell"
"88","(250,300]",2006,8,"Shell"
"89","(250,300]",2007,9,"Shell"
"90","(250,300]",2008,8,"Shell"
"91","(250,300]",2009,8,"Shell"
"92","(250,300]",2010,8,"Shell"
"93","(250,300]",2011,8,"Shell"
"94","(250,300]",2012,8,"Shell"
"95","(250,300]",2013,8,"Shell"
"96","(250,300]",2014,8,"Shell"
"97","(250,300]",2015,9,"Shell"
"98","(250,300]",2016,9,"Shell"
"99","(250,300]",2017,19,"Shell"
"100","(250,300]",2018,24,"Shell"
"101","(250,300]",2019,18,"Shell"
"102","(250,300]",2020,21,"Shell"
"103","(250,300]",2021,24,"Shell"
"104","(250,300]",2022,18,"Shell"
"105","(300,350]",1998,18,"Shell"
"106","(300,350]",1999,18,"Shell"
"107","(300,350]",2000,18,"Shell"
"108","(300,350]",2001,18,"Shell"
"109","(300,350]",2002,18,"Shell"
"110","(300,350]",2003,18,"Shell"
"111","(300,350]",2004,18,"Shell"
"112","(300,350]",2005,19,"Shell"
"113","(300,350]",2006,18,"Shell"
"114","(300,350]",2007,20,"Shell"
"115","(300,350]",2008,20,"Shell"
"116","(300,350]",2009,21,"Shell"
"117","(300,350]",2010,21,"Shell"
"118","(300,350]",2011,21,"Shell"
"119","(300,350]",2012,21,"Shell"
"120","(300,350]",2013,21,"Shell"
"121","(300,350]",2014,21,"Shell"
"122","(300,350]",2015,25,"Shell"
"123","(300,350]",2016,28,"Shell"
"124","(300,350]",2017,49,"Shell"
"125","(300,350]",2018,60,"Shell"
"126","(300,350]",2019,71,"Shell"
"127","(300,350]",2020,75,"Shell"
"128","(300,350]",2021,69,"Shell"
