"","Entity_Type","Year","sats"
"1","Civil",1974,1
"2","Civil",1975,1
"3","Civil",1976,1
"4","Civil",1977,1
"5","Civil",1978,1
"6","Civil",1979,1
"7","Civil",1980,1
"8","Civil",1981,1
"9","Civil",1982,1
"10","Civil",1983,1
"11","Civil",1984,2
"12","Civil",1985,2
"13","Civil",1986,2
"14","Civil",1987,2
"15","Civil",1988,2
"16","Civil",1989,3
"17","Civil",1990,4
"18","Civil",1991,6
"19","Civil",1992,6
"20","Civil",1993,7
"21","Civil",1994,7
"22","Civil",1995,7
"23","Civil",1996,8
"24","Civil",1997,8
"25","Civil",1998,60
"26","Civil",1999,60
"27","Civil",2000,62
"28","Civil",2001,62
"29","Civil",2002,65
"30","Civil",2003,72
"31","Civil",2004,74
"32","Civil",2005,76
"33","Civil",2006,78
"34","Civil",2007,84
"35","Civil",2008,89
"36","Civil",2009,103
"37","Civil",2010,108
"38","Civil",2011,112
"39","Civil",2012,118
"40","Civil",2013,146
"41","Civil",2014,164
"42","Civil",2015,184
"43","Civil",2016,187
"44","Civil",2017,201
"45","Civil",2018,229
"46","Civil",2019,235
"47","Civil",2020,231
"48","Civil",2021,246
"49","Civil",2022,240
"50","Civil/Commercial",1993,1
"51","Civil/Commercial",1994,1
"52","Civil/Commercial",1995,1
"53","Civil/Commercial",1996,1
"54","Civil/Commercial",1997,1
"55","Civil/Commercial",1998,1
"56","Civil/Commercial",1999,2
"57","Civil/Commercial",2000,2
"58","Civil/Commercial",2001,2
"59","Civil/Commercial",2002,2
"60","Civil/Commercial",2003,2
"61","Civil/Commercial",2004,2
"62","Civil/Commercial",2005,2
"63","Civil/Commercial",2006,2
"64","Civil/Commercial",2007,2
"65","Civil/Commercial",2008,3
"66","Civil/Commercial",2009,3
"67","Civil/Commercial",2010,3
"68","Civil/Commercial",2011,3
"69","Civil/Commercial",2012,3
"70","Civil/Commercial",2013,3
"71","Civil/Commercial",2014,4
"72","Civil/Commercial",2015,4
"73","Civil/Commercial",2016,5
"74","Civil/Commercial",2017,5
"75","Civil/Commercial",2018,8
"76","Civil/Commercial",2019,9
"77","Civil/Commercial",2020,9
"78","Civil/Commercial",2021,9
"79","Civil/Commercial",2022,10
"80","Civil/Government",1996,1
"81","Civil/Government",1997,1
"82","Civil/Government",1998,7
"83","Civil/Government",1999,9
"84","Civil/Government",2000,10
"85","Civil/Government",2001,12
"86","Civil/Government",2002,13
"87","Civil/Government",2003,19
"88","Civil/Government",2004,19
"89","Civil/Government",2005,20
"90","Civil/Government",2006,31
"91","Civil/Government",2007,31
"92","Civil/Government",2008,32
"93","Civil/Government",2009,34
"94","Civil/Government",2010,36
"95","Civil/Government",2011,35
"96","Civil/Government",2012,36
"97","Civil/Government",2013,39
"98","Civil/Government",2014,39
"99","Civil/Government",2015,43
"100","Civil/Government",2016,45
"101","Civil/Government",2017,45
"102","Civil/Government",2018,51
"103","Civil/Government",2019,51
"104","Civil/Government",2020,51
"105","Civil/Government",2021,51
"106","Civil/Government",2022,49
"107","Civil/Military",1998,1
"108","Civil/Military",1999,1
"109","Civil/Military",2000,1
"110","Civil/Military",2001,2
"111","Civil/Military",2002,2
"112","Civil/Military",2003,2
"113","Civil/Military",2004,2
"114","Civil/Military",2005,2
"115","Civil/Military",2006,2
"116","Civil/Military",2007,4
"117","Civil/Military",2008,4
"118","Civil/Military",2009,4
"119","Civil/Military",2010,4
"120","Civil/Military",2011,4
"121","Civil/Military",2012,4
"122","Civil/Military",2013,4
"123","Civil/Military",2014,4
"124","Civil/Military",2015,4
"125","Civil/Military",2016,4
"126","Civil/Military",2017,5
"127","Civil/Military",2018,6
"128","Civil/Military",2019,8
"129","Civil/Military",2020,10
"130","Civil/Military",2021,11
"131","Civil/Military",2022,10
"132","Commercial",1990,1
"133","Commercial",1991,1
"134","Commercial",1992,1
"135","Commercial",1993,1
"136","Commercial",1994,1
"137","Commercial",1995,4
"138","Commercial",1996,6
"139","Commercial",1997,19
"140","Commercial",1998,132
"141","Commercial",1999,169
"142","Commercial",2000,173
"143","Commercial",2001,176
"144","Commercial",2002,179
"145","Commercial",2003,181
"146","Commercial",2004,184
"147","Commercial",2005,184
"148","Commercial",2006,185
"149","Commercial",2007,201
"150","Commercial",2008,211
"151","Commercial",2009,216
"152","Commercial",2010,223
"153","Commercial",2011,239
"154","Commercial",2012,243
"155","Commercial",2013,261
"156","Commercial",2014,294
"157","Commercial",2015,326
"158","Commercial",2016,342
"159","Commercial",2017,517
"160","Commercial",2018,651
"161","Commercial",2019,842
"162","Commercial",2020,1929
"163","Commercial",2021,3349
"164","Commercial",2022,3880
"165","Commercial/Government",1996,1
"166","Commercial/Government",1997,24
"167","Commercial/Government",1998,53
"168","Commercial/Government",1999,56
"169","Commercial/Government",2000,56
"170","Commercial/Government",2001,57
"171","Commercial/Government",2002,61
"172","Commercial/Government",2003,62
"173","Commercial/Government",2004,62
"174","Commercial/Government",2005,62
"175","Commercial/Government",2006,64
"176","Commercial/Government",2007,66
"177","Commercial/Government",2008,68
"178","Commercial/Government",2009,68
"179","Commercial/Government",2010,69
"180","Commercial/Government",2011,69
"181","Commercial/Government",2012,72
"182","Commercial/Government",2013,77
