"","Entity_Name","Year","COSPAR_number","NORAD_number","mean_altitude","INTLDES","DECAY","PERIOD","INCLINATION","APOGEE","PERIGEE","LAUNCH_YEAR","LAUNCH_NUM","OBJECT_NAME","Entity_sat_count_alltime","launched_yet","decayed_yet","decay_na"
"1","Iridium Satellite LLC",2002,"2002-005C",27374,109.5,"2002-005C",2018,86.68,86.3,170,49,2002,5,"IRIDIUM 94",87,0,-1,FALSE
"2","Iridium Satellite LLC",2003,"2002-005C",27374,109.5,"2002-005C",2018,86.68,86.3,170,49,2002,5,"IRIDIUM 94",87,1,-1,FALSE
"3","Iridium Satellite LLC",2004,"2002-005C",27374,109.5,"2002-005C",2018,86.68,86.3,170,49,2002,5,"IRIDIUM 94",87,1,-1,FALSE
"4","Iridium Satellite LLC",2005,"2002-005C",27374,109.5,"2002-005C",2018,86.68,86.3,170,49,2002,5,"IRIDIUM 94",87,1,-1,FALSE
"5","Iridium Satellite LLC",2006,"2002-005C",27374,109.5,"2002-005C",2018,86.68,86.3,170,49,2002,5,"IRIDIUM 94",87,1,-1,FALSE
"6","Iridium Satellite LLC",2007,"2002-005C",27374,109.5,"2002-005C",2018,86.68,86.3,170,49,2002,5,"IRIDIUM 94",87,1,-1,FALSE
"7","Iridium Satellite LLC",2008,"2002-005C",27374,109.5,"2002-005C",2018,86.68,86.3,170,49,2002,5,"IRIDIUM 94",87,1,-1,FALSE
"8","Iridium Satellite LLC",2009,"2002-005C",27374,109.5,"2002-005C",2018,86.68,86.3,170,49,2002,5,"IRIDIUM 94",87,1,-1,FALSE
"9","Iridium Satellite LLC",2010,"2002-005C",27374,109.5,"2002-005C",2018,86.68,86.3,170,49,2002,5,"IRIDIUM 94",87,1,-1,FALSE
"10","Iridium Satellite LLC",2011,"2002-005C",27374,109.5,"2002-005C",2018,86.68,86.3,170,49,2002,5,"IRIDIUM 94",87,1,-1,FALSE
"11","Iridium Satellite LLC",2012,"2002-005C",27374,109.5,"2002-005C",2018,86.68,86.3,170,49,2002,5,"IRIDIUM 94",87,1,-1,FALSE
"12","Iridium Satellite LLC",2013,"2002-005C",27374,109.5,"2002-005C",2018,86.68,86.3,170,49,2002,5,"IRIDIUM 94",87,1,-1,FALSE
"13","Iridium Satellite LLC",2014,"2002-005C",27374,109.5,"2002-005C",2018,86.68,86.3,170,49,2002,5,"IRIDIUM 94",87,1,-1,FALSE
"14","Iridium Satellite LLC",2015,"2002-005C",27374,109.5,"2002-005C",2018,86.68,86.3,170,49,2002,5,"IRIDIUM 94",87,1,-1,FALSE
"15","Iridium Satellite LLC",2016,"2002-005C",27374,109.5,"2002-005C",2018,86.68,86.3,170,49,2002,5,"IRIDIUM 94",87,1,-1,FALSE
"16","Iridium Satellite LLC",2017,"2002-005C",27374,109.5,"2002-005C",2018,86.68,86.3,170,49,2002,5,"IRIDIUM 94",87,1,-1,FALSE
"17","Iridium Satellite LLC",2018,"2002-005C",27374,109.5,"2002-005C",2018,86.68,86.3,170,49,2002,5,"IRIDIUM 94",87,1,0,FALSE
"18","European Space Operations Centre (ESOC)",2009,"2009-013A",34602,116.5,"2009-013A",2013,86.82,96.57,123,110,2009,13,"GOCE",1,0,-1,FALSE
"19","European Space Operations Centre (ESOC)",2010,"2009-013A",34602,116.5,"2009-013A",2013,86.82,96.57,123,110,2009,13,"GOCE",1,1,-1,FALSE
"20","European Space Operations Centre (ESOC)",2011,"2009-013A",34602,116.5,"2009-013A",2013,86.82,96.57,123,110,2009,13,"GOCE",1,1,-1,FALSE
"21","European Space Operations Centre (ESOC)",2012,"2009-013A",34602,116.5,"2009-013A",2013,86.82,96.57,123,110,2009,13,"GOCE",1,1,-1,FALSE
"22","European Space Operations Centre (ESOC)",2013,"2009-013A",34602,116.5,"2009-013A",2013,86.82,96.57,123,110,2009,13,"GOCE",1,1,0,FALSE
"23","Iridium Satellite LLC",1997,"1997-020A",24792,118,"1997-020A",2017,86.84,86.34,135,101,1997,20,"IRIDIUM 8",87,0,-1,FALSE
"24","Iridium Satellite LLC",1998,"1997-020A",24792,118,"1997-020A",2017,86.84,86.34,135,101,1997,20,"IRIDIUM 8",87,1,-1,FALSE
"25","Iridium Satellite LLC",1999,"1997-020A",24792,118,"1997-020A",2017,86.84,86.34,135,101,1997,20,"IRIDIUM 8",87,1,-1,FALSE
"26","Iridium Satellite LLC",2000,"1997-020A",24792,118,"1997-020A",2017,86.84,86.34,135,101,1997,20,"IRIDIUM 8",87,1,-1,FALSE
"27","Iridium Satellite LLC",2001,"1997-020A",24792,118,"1997-020A",2017,86.84,86.34,135,101,1997,20,"IRIDIUM 8",87,1,-1,FALSE
"28","Iridium Satellite LLC",2002,"1997-020A",24792,118,"1997-020A",2017,86.84,86.34,135,101,1997,20,"IRIDIUM 8",87,1,-1,FALSE
"29","Iridium Satellite LLC",2003,"1997-020A",24792,118,"1997-020A",2017,86.84,86.34,135,101,1997,20,"IRIDIUM 8",87,1,-1,FALSE
