Entity_Name,SATNAME,Entity_Type,Contractor,Purpose,Date_of_First_Launch,Launch_vehicle,Launch_site,COSPAR_number,NORAD_number,Class_of_Orbit,Expected_Lifetime_years,Longitude,Expected_Lifetime_months,Expected_Deorbit_Date,Sat_Count_entity,Entity_First_Launch,UCS_entry_year,vintage_of_UCS_year,Alltime_Entity_First_Launch,Entity_sat_count_alltime,Last_Deorbit_expected,entity_launch_cohort_year,slot_no
1Worldspace,Afristar,Commercial,Matra Marconi Space-France,Communications,1998-10-28,Ariane 44L,Guiana Space Center,1998-063A,25515,"",15,20.97,180,2013-10-28,2,1998-10-28,2012-08-01,2005-11-15,1998-10-28,2,2015-03-21,1998,21
1Worldspace,Afristar,Commercial,Matra Marconi Space-France,Communications,1998-10-28,Ariane 44L,Guiana Space Center,1998-063A,25515,"",15,20.97,180,2013-10-28,2,1998-10-28,2015-09-09,2005-11-15,1998-10-28,2,2015-03-21,1998,21
1Worldspace,Afristar,Commercial,Matra Marconi Space-France,Communications,1998-10-28,Ariane 44L,Guiana Space Center,1998-063A,25515,"",15,20.97,180,2013-10-28,2,1998-10-28,2014-08-01,2005-11-15,1998-10-28,2,2015-03-21,1998,21
1Worldspace,Afristar,Commercial,Matra Marconi Space-France,Communications,1998-10-28,Ariane 44L,Guiana Space Center,1998-063A,25515,"",15,20.97,180,2013-10-28,2,1998-10-28,2013-06-01,2005-11-15,1998-10-28,2,2015-03-21,1998,21
1Worldspace,Afristar,Commercial,Matra Marconi Space-France,Communications,1998-10-28,Ariane 44L,Guiana Space Center,1998-063A,25515,"",15,20.97,180,2013-10-28,2,1998-10-28,2013-09-20,2005-11-15,1998-10-28,2,2015-03-21,1998,21
1Worldspace,Afristar,Commercial,Matra Marconi Space-France,Communications,1998-10-28,Ariane 44L,Guiana Space Center,1998-063A,25515,"",15,20.97,180,2013-10-28,2,1998-10-28,2014-02-01,2005-11-15,1998-10-28,2,2015-03-21,1998,21
1Worldspace,Afristar,Commercial,Matra Marconi Space-France,Communications,1998-10-28,Ariane 44L,Guiana Space Center,1998-063A,25515,"",15,20.97,180,2013-10-28,2,1998-10-28,2015-02-01,2005-11-15,1998-10-28,2,2015-03-21,1998,21
1Worldspace,Afristar,Commercial,Matra Marconi Space-France,Communications,1998-10-28,Ariane 44L,Guiana Space Center,1998-063A,25515,"",15,20.97,180,2013-10-28,2,1998-10-28,2012-04-01,2005-11-15,1998-10-28,2,2015-03-21,1998,21
1Worldspace,Afristar,Commercial,Matra Marconi Space-France,Communications,1998-10-28,Ariane 44L,Guiana Space Center,1998-063A,25515,"",15,20.97,180,2013-10-28,2,1998-10-28,2016-01-01,2005-11-15,1998-10-28,2,2015-03-21,1998,21
1Worldspace,Afristar,Commercial,Matra Marconi Space-France,Communications,1998-10-28,Ariane 44L,Guiana Space Center,1998-063A,25515,"",15,20.97,180,2013-10-28,2,1998-10-28,2012-01-01,2005-11-15,1998-10-28,2,2015-03-21,1998,21
1Worldspace,Afristar,Commercial,Matra Marconi Space-France,Communications,1998-10-28,Ariane 44L,Guiana Space Center,1998-063A,25515,"",15,20.97,180,2013-10-28,2,1998-10-28,2017-09-01,2005-11-15,1998-10-28,2,2015-03-21,1998,21
1Worldspace,Afristar,Commercial,Matra Marconi Space-France,Communications,1998-10-28,Ariane 44L,Guiana Space Center,1998-063A,25515,"",15,20.97,180,2013-10-28,2,1998-10-28,2011-09-01,2005-11-15,1998-10-28,2,2015-03-21,1998,21
1Worldspace,Afristar,Commercial,Matra Marconi Space-France,Communications,1998-10-28,Ariane 44L,Guiana Space Center,1998-063A,25515,"",15,20.97,180,2013-10-28,2,1998-10-28,2015-09-01,2005-11-15,1998-10-28,2,2015-03-21,1998,21
1Worldspace,AsiaStar,Commercial,Alcatel Space Industries,Communications,2000-03-21,Ariane 5G,Guiana Space Center,2000-016A,26107,"",15,104.97,180,2015-03-21,2,1998-10-28,2013-09-20,2005-11-15,1998-10-28,2,2015-03-21,1998,105
1Worldspace,AsiaStar,Commercial,Alcatel Space Industries,Communications,2000-03-21,Ariane 5G,Guiana Space Center,2000-016A,26107,"",15,105,180,2015-03-21,1,2000-03-21,2018-12-01,2005-11-15,1998-10-28,2,2015-03-21,1998,105
1Worldspace,AsiaStar,Commercial,Alcatel Space Industries,Communications,2000-03-21,Ariane 5G,Guiana Space Center,2000-016A,26107,"",15,104.97,180,2015-03-21,2,1998-10-28,2016-01-01,2005-11-15,1998-10-28,2,2015-03-21,1998,105
1Worldspace,AsiaStar,Commercial,Alcatel Space Industries,Communications,2000-03-21,Ariane 5G,Guiana Space Center,2000-016A,26107,"",15,104.97,180,2015-03-21,2,1998-10-28,2011-09-01,2005-11-15,1998-10-28,2,2015-03-21,1998,105
1Worldspace,AsiaStar,Commercial,Alcatel Space Industries,Communications,2000-03-21,Ariane 5G,Guiana Space Center,2000-016A,26107,"",15,104.97,180,2015-03-21,2,1998-10-28,2014-02-01,2005-11-15,1998-10-28,2,2015-03-21,1998,105
