Entity_Name,Entity_Type,Contractor,SATNAME,Purpose,Date_of_First_Launch,Launch_vehicle,Launch_site,COSPAR_number,NORAD_number,Class_of_Orbit,Expected_Lifetime_years,Expected_Lifetime_months,Expected_Deorbit_Date,Sat_Count_entity,Entity_First_Launch,UCS_entry_year
Air Force,Military,TRW and Aerojet Electronics Systems,DSP 20 (USA 149) (Defense Support Program),Early Warning,2000-05-18,Titan IVB,Cape Canaveral,2000-024A,26356,"GEO, 7.67° E",,,,6,1991-11-24,2006-03-17
Air Force,Military,TRW and Aerojet Electronics Systems,DSP 21 (USA 159) (Defense Support Program),Early Warning,2001-08-06,Titan 4B,Cape Canaveral,2001-033A,26880,GEO,,,,6,1991-11-24,2006-03-17
Air Force,Military,Northrup Grumman (formerly TRW),DSP 22 (USA 176) (Defense Support Program),Early Warning,2004-02-14,Titan 4B,Cape Canaveral,2004-004A,28158,GEO,,,,6,1991-11-24,2006-03-17
Air Force,Military,TRW and Aerojet Electronics Systems,"DSP F16 (DSP 16, USA 72) (Defense Support Program)",Early Warning,1991-11-24,Shuttle (STS 44),Cape Canaveral,1991-080B,21805,"GEO, 40.28° W",,,,6,1991-11-24,2006-03-17
Air Force,Military,TRW and Aerojet Electronics Systems,"DSP F17 (DSP 17, USA 107) (Defense Support Program)",Early Warning,1994-12-22,Titan IVA,Cape Canaveral,1994-084A,23435,"GEO, 146.15° W",,,,6,1991-11-24,2006-03-17
Air Force,Military,TRW and Aerojet Electronics Systems,DSP F18 (USA 130) (Defense Support Program),Early Warning,1997-02-23,Titan IVB,Cape Canaveral,1997-008A,24737,GEO,,,,6,1991-11-24,2006-03-17
Air Force Space and Missile Systems Center,Military,General Electric Astro Space,"DMSP 5D-2 F12 (Defense Meteorological Satellites Program, USA 106)",Earth Science/Meteorology,1994-08-29,Atlas E,Vandenberg AFB,1994-057A,23233,"LEO, Sun-sync.",5,60,1999-08-29,5,1994-08-29,2006-03-17
Air Force Space and Missile Systems Center,Military,General Electric Astro Space,"DMSP 5D-2 F13 (Defense Meteorological Satellites Program, USA 109)",Earth Science/Meteorology,1995-03-24,Atlas E,Vandenberg AFB,1995-015A,23533,"LEO, Sun-sync.",5,60,2000-03-24,5,1994-08-29,2006-03-17
Air Force Space and Missile Systems Center,Military,Lockheed Martin Missiles and Space,"DMSP 5D-2 F14 (Defense Meteorological Satellites Program, USA 131)",Earth Science/Meteorology,1997-04-04,Titan 2,Vandenberg AFB,1997-012A,24753,"LEO, Sun-sync.",5,60,2002-04-04,5,1994-08-29,2006-03-17
Air Force Space and Missile Systems Center,Military,Lockheed Martin Missiles and Space,"DMSP 5D-3 F15 (Defense Meteorological Satellites Program, USA 147)",Earth Science/Meteorology,1999-12-12,Titan 2,Vandenberg AFB,1999-067A,25991,"LEO, Sun-sync.",5,60,2004-12-12,5,1994-08-29,2006-03-17
Air Force Space and Missile Systems Center,Military,Lockheed Martin Missiles and Space,"DMSP 5D-3 F16 (Defense Meteorological Satellites Program, USA 172)",Earth Science/Meteorology,2003-10-18,Titan 2,Vandenberg AFB,2003-048A,28054,"LEO, Sun-sync.",5,60,2008-10-18,5,1994-08-29,2006-03-17
Amsat-NA,Civil,Amsat-NA/SpaceQuest,"Amsat-Echo (Oscar 51, AO-51)",Amateur Radio,2004-06-29,Dnepr 1,Baikonur Cosmodrome,2004-025K,28375,"LEO, Sun-sync.",,,,2,1974-11-15,2006-03-17
Amsat-NA,Civil,Amsat-NA,Amsat-Oscar 7 (AO-7),Amateur Radio,1974-11-15,Delta 2310,Vandenberg AFB,1974-089B,7530,"LEO, Sun-sync.",,,,2,1974-11-15,2006-03-17
Aprize Satellites Argentina,Commercial,SpaceQuest,LatinSat A,Communications,2002-12-20,Dnepr LV,Baikonur Cosmodrome,2002-058H,27612,LEO/I,,,,4,2002-12-20,2006-03-17
Aprize Satellites Argentina,Commercial,SpaceQuest,LatinSat B,Communications,2002-12-20,Dnepr LV,Baikonur Cosmodrome,2002-058B,27606,LEO/I,,,,4,2002-12-20,2006-03-17
Aprize Satellites Argentina,Commercial,Aprize Satellite,Latinsat-C,Communications (experimental),2004-06-29,Dnepr 1,Baikonur Cosmodrome,2004-025G,28372,"LEO, Sun-sync.",,,,4,2002-12-20,2006-03-17
Aprize Satellites Argentina,Commercial,Aprize Satellite,Latinsat-D,Communications (experimental),2004-06-29,Dnepr 1,Baikonur Cosmodrome,2004-025A,28366,"LEO, Sun-sync.",,,,4,2002-12-20,2006-03-17
APT Satellite Holdings Ltd.,Commercial,Hughes Space and Communications Group,Apstar 1,Communications,1994-07-21,Long March,Xichang Satellite Launch Center,1994-043A,23185,"GEO, 134° E",9,108,2003-07-21,3,1994-07-21,2006-03-17
APT Satellite Holdings Ltd.,Commercial,Boeing Satellite Systems,Apstar 1A (Apstar 3),Communications,1996-07-03,Long March CZ-3,Xichang Satellite Launch Center,1996-039A,23943,"GEO, 134.05° E",12,144,2008-07-03,3,1994-07-21,2006-03-17
APT Satellite Holdings Ltd.,Commercial,Alcatel Space Industries,Apstar 6,Communications,2005-04-12,Long March 3B,Xichang Satellite Launch Center,2005-012A,28638,"GEO, 134° E",,,,3,1994-07-21,2006-03-17
Arab Satellite Communications Org. (ASCO),Government,Alcatel Space Industries,Arabsat 2B (Arabsat IIB),Communications,1996-11-13,Ariane 44L,Guiana Space Center,1996-063A,24652,"GEO, 30.48° E",14,168,2010-11-13,4,1996-11-13,2006-03-17
Arab Satellite Communications Org. (ASCO),Government,Hughes Space and Communications Group,"Arabsat 2C (Panamsat-5, PAS-5)",Communications,1997-08-28,Proton K,Baikonur Cosmodrome,1997-046A,24916,"GEO, 26.11° E",15,180,2012-08-28,4,1996-11-13,2006-03-17
Arab Satellite Communications Org. (ASCO),Commercial,Matra Marconi Space (Astrium),"Arabsat 2D (Eurobird 2, Hot Bird 5)",Communications,1998-09-10,Atlas 2A,Cape Canaveral,1998-057A,25495,"GEO,  25.80° E",12,144,2010-09-10,4,1996-11-13,2006-03-17
Arab Satellite Communications Org. (ASCO),Government,Aerospatiale Matra SA,Arabsat 3A,Communications,1999-02-26,Ariane 44L,Guiana Space Center,1999-009A,25638,"GEO, 25.93° E",15,180,2014-02-26,4,1996-11-13,2006-03-17
Asia Cellular Satellite,Commercial,Lockheed Martin Missiles and Space,Garuda-1 (Aces 1),Communications,2000-02-12,Proton,Baikonur Cosmodrome,2000-011A,26089,"GEO, 107.63° E",12,144,2012-02-12,1,2000-02-12,2006-03-17
Asia Satellite Telecommunications Co. Ltd. (SES Global),Commercial,Lockheed Martin Astro Space,AsiaSat 2,Communications,1995-11-28,Long March CZ-2E,Xichang Satellite Launch Center,1995-064A,23723,"GEO, 100.52° E",13,156,2008-11-28,3,1995-11-28,2006-03-17
Asia Satellite Telecommunications Co. Ltd. (SES Global),Commercial,Boeing Satellite Systems,AsiaSat 3S (Asiasat 3SA),Communications,1999-03-21,Proton-K,Baikonur Cosmodrome,1999-013A,25657,"GEO, 105.51° E",15,180,2014-03-21,3,1995-11-28,2006-03-17
Asia Satellite Telecommunications Co. Ltd. (SES Global),Commercial,Boeing Satellite Systems,AsiaSat 4,Communications,2003-04-12,Atlas 3B,Cape Canaveral,2003-014A,27718,"GEO, 121.99° E",15,180,2018-04-12,3,1995-11-28,2006-03-17
Astronautic Technology Sdn Bhd,Government,"Astronautic Technology Sdn Bhd/Surrey Satellite Technology, Ltd.","Tiungsat-1 (Malaysian Oscar 46, MO-46)",Remote Sensing/Amateur Radio,2000-09-26,Dnepr,Baikonur Cosmodrome,2000-057A,26545,LEO/I,1,12,2001-09-26,1,2000-09-26,2006-03-17
Astronomical Institute of Czech Academy of Sciences,Civil,Space Devies,MIMOSA (MIcroMeasurements Of Satellite Accelerations),Research,2003-06-30,Rokot,Plesetsk Cosmodrome,2003-031B,27841,"LEO, Sun-sync.",,,,1,2003-06-30,2006-03-17
Beijing Landview Mapping Information Technology Co. Ltd (BLMIT),Civil,Tsinghua University/University of Surrey,"Beijing-1 (Tsinghau-2, China DMC+4)",Earth Observation,2005-10-27,Cosmos 3M,Plesetsk Cosmodrome,2005-043A,28890,"LEO, Sun-sync.",7,84,2012-10-27,1,2005-10-27,2006-03-17
Bilten Satellite Technologies Group,Government/Civil,Bilten Satellite Technologies Group,Bilsat-1,Earth Observation,2003-09-27,Kosmos 3M,Plesetsk Cosmodrome,2003-042E,27945,"LEO, Sun-sync.",,,,1,2003-09-27,2006-03-17
Binariang Satellite Systems,Commercial,Boeing Satellite Systems,Measat 1 (Malaysia East Asia Sat 1),Communications,1996-01-13,Ariane 44L,Guiana Space Center,1996-002B,23765,"GEO, 91.47° E",12.2,146,2008-03-13,2,1996-01-13,2006-03-17
Binariang Satellite Systems,Commercial,Boeing Satellite Systems,Measat 2 (Malaysia East Asia Sat 2),Communications,1996-11-14,Ariane 44L,Guiana Space Center,1996-063B,24653,"GEO, 148.00° E",11.5,138,2008-05-14,2,1996-01-13,2006-03-17
Broadcasting Satellite System Corp.,Commercial,Boeing Satellite Systems,BSAT-1A,Communications,1997-04-16,Ariane 44LP,Guiana Space Center,1997-016B,24769,"GEO, 109.61° E",10,120,2007-04-16,4,1997-04-16,2006-03-17
Broadcasting Satellite System Corp.,Commercial,Boeing Satellite Systems,BSAT-1B,Communications,1998-04-28,Ariane 44P,Guiana Space Center,1998-024B,25312,"GEO, 109.77° E",10,120,2008-04-28,4,1997-04-16,2006-03-17
Broadcasting Satellite System Corp.,Commercial,Orbital Sciences Corp.,BSAT-2A,Communications,2001-03-08,Ariane 5G,Guiana Space Center,2001-011B,26720,"GEO, 109.89° E",10,120,2011-03-08,4,1997-04-16,2006-03-17
Broadcasting Satellite System Corp.,Commercial,Orbital Sciences Corp.,BSAT-2C,Communications,2003-06-11,Ariane 5G,Guiana Space Center,2003-028A,27830,"GEO, 109.80° E",10,120,2013-06-11,4,1997-04-16,2006-03-17
Cablevision Systems Corporation (CSC),Commercial,Lockheed Martin Commercial Space Systems,Rainbow-1,Communications,2003-07-17,Atlas 5,Cape Canaveral,2003-033A,27852,"GEO, 61.62° W",18,216,2021-07-17,1,2003-07-17,2006-03-17
California Institute of Technology/NASA,Civil/Government,Orbital Sciences Corp.,GALEX (Galaxy Evolution Explorer),Space Science,2003-04-28,Pegasus,Cape Canaveral,2003-017A,27782,LEO/I,,,,1,2003-04-28,2006-03-17
Canadian Space Agency,Government,Dynacon Inc./University of Toronto/University of British Columbia,MOST (Microvariability & Oscillations of Stars),Astrophysics,2003-06-30,Rokot,Plesetsk Cosmodrome,2003-031D,27843,"LEO, Sun-sync.",,,,2,2003-06-30,2006-03-17
