"","COSPAR_number","Year","Date_of_First_Launch","Expected_Deorbit_Date","slot_no","Entity_Name","SATNAME","Entity_Type","Contractor","Purpose","Launch_vehicle","Launch_site","NORAD_number","Class_of_Orbit","Expected_Lifetime_years","Longitude","Expected_Lifetime_months","Sat_Count_entity","Entity_First_Launch","UCS_entry_year","vintage_of_UCS_year","Alltime_Entity_First_Launch","Entity_sat_count_alltime","Last_Deorbit_expected","entity_launch_cohort_year","LAUNCH_YEAR","launched_yet","DECAY","decay_na","decayed_yet"
"1","1998-063A",1998,1998-10-28,2013-10-28,21,"1Worldspace","Afristar","Commercial","Matra Marconi Space-France","Communications","Ariane 44L","Guiana Space Center",25515,NA,15,20.97,180,2,1998-10-28,2012-08-01,2005-11-15,1998-10-28,2,2015-03-21,1998,1998,0,2013,FALSE,-1
"2","1998-063A",1999,1998-10-28,2013-10-28,21,"1Worldspace","Afristar","Commercial","Matra Marconi Space-France","Communications","Ariane 44L","Guiana Space Center",25515,NA,15,20.97,180,2,1998-10-28,2012-08-01,2005-11-15,1998-10-28,2,2015-03-21,1998,1998,1,2013,FALSE,-1
"3","1998-063A",2000,1998-10-28,2013-10-28,21,"1Worldspace","Afristar","Commercial","Matra Marconi Space-France","Communications","Ariane 44L","Guiana Space Center",25515,NA,15,20.97,180,2,1998-10-28,2012-08-01,2005-11-15,1998-10-28,2,2015-03-21,1998,1998,1,2013,FALSE,-1
"4","1998-063A",2001,1998-10-28,2013-10-28,21,"1Worldspace","Afristar","Commercial","Matra Marconi Space-France","Communications","Ariane 44L","Guiana Space Center",25515,NA,15,20.97,180,2,1998-10-28,2012-08-01,2005-11-15,1998-10-28,2,2015-03-21,1998,1998,1,2013,FALSE,-1
"5","1998-063A",2002,1998-10-28,2013-10-28,21,"1Worldspace","Afristar","Commercial","Matra Marconi Space-France","Communications","Ariane 44L","Guiana Space Center",25515,NA,15,20.97,180,2,1998-10-28,2012-08-01,2005-11-15,1998-10-28,2,2015-03-21,1998,1998,1,2013,FALSE,-1
"6","1998-063A",2003,1998-10-28,2013-10-28,21,"1Worldspace","Afristar","Commercial","Matra Marconi Space-France","Communications","Ariane 44L","Guiana Space Center",25515,NA,15,20.97,180,2,1998-10-28,2012-08-01,2005-11-15,1998-10-28,2,2015-03-21,1998,1998,1,2013,FALSE,-1
"7","1998-063A",2004,1998-10-28,2013-10-28,21,"1Worldspace","Afristar","Commercial","Matra Marconi Space-France","Communications","Ariane 44L","Guiana Space Center",25515,NA,15,20.97,180,2,1998-10-28,2012-08-01,2005-11-15,1998-10-28,2,2015-03-21,1998,1998,1,2013,FALSE,-1
"8","1998-063A",2005,1998-10-28,2013-10-28,21,"1Worldspace","Afristar","Commercial","Matra Marconi Space-France","Communications","Ariane 44L","Guiana Space Center",25515,NA,15,20.97,180,2,1998-10-28,2012-08-01,2005-11-15,1998-10-28,2,2015-03-21,1998,1998,1,2013,FALSE,-1
"9","1998-063A",2006,1998-10-28,2013-10-28,21,"1Worldspace","Afristar","Commercial","Matra Marconi Space-France","Communications","Ariane 44L","Guiana Space Center",25515,NA,15,20.97,180,2,1998-10-28,2012-08-01,2005-11-15,1998-10-28,2,2015-03-21,1998,1998,1,2013,FALSE,-1
"10","1998-063A",2007,1998-10-28,2013-10-28,21,"1Worldspace","Afristar","Commercial","Matra Marconi Space-France","Communications","Ariane 44L","Guiana Space Center",25515,NA,15,20.97,180,2,1998-10-28,2012-08-01,2005-11-15,1998-10-28,2,2015-03-21,1998,1998,1,2013,FALSE,-1
"11","1998-063A",2008,1998-10-28,2013-10-28,21,"1Worldspace","Afristar","Commercial","Matra Marconi Space-France","Communications","Ariane 44L","Guiana Space Center",25515,NA,15,20.97,180,2,1998-10-28,2012-08-01,2005-11-15,1998-10-28,2,2015-03-21,1998,1998,1,2013,FALSE,-1
"12","1998-063A",2009,1998-10-28,2013-10-28,21,"1Worldspace","Afristar","Commercial","Matra Marconi Space-France","Communications","Ariane 44L","Guiana Space Center",25515,NA,15,20.97,180,2,1998-10-28,2012-08-01,2005-11-15,1998-10-28,2,2015-03-21,1998,1998,1,2013,FALSE,-1
"13","1998-063A",2010,1998-10-28,2013-10-28,21,"1Worldspace","Afristar","Commercial","Matra Marconi Space-France","Communications","Ariane 44L","Guiana Space Center",25515,NA,15,20.97,180,2,1998-10-28,2012-08-01,2005-11-15,1998-10-28,2,2015-03-21,1998,1998,1,2013,FALSE,-1
"14","1998-063A",2011,1998-10-28,2013-10-28,21,"1Worldspace","Afristar","Commercial","Matra Marconi Space-France","Communications","Ariane 44L","Guiana Space Center",25515,NA,15,20.97,180,2,1998-10-28,2012-08-01,2005-11-15,1998-10-28,2,2015-03-21,1998,1998,1,2013,FALSE,-1
"15","1998-063A",2012,1998-10-28,2013-10-28,21,"1Worldspace","Afristar","Commercial","Matra Marconi Space-France","Communications","Ariane 44L","Guiana Space Center",25515,NA,15,20.97,180,2,1998-10-28,2012-08-01,2005-11-15,1998-10-28,2,2015-03-21,1998,1998,1,2013,FALSE,-1
"16","1998-063A",2013,1998-10-28,2013-10-28,21,"1Worldspace","Afristar","Commercial","Matra Marconi Space-France","Communications","Ariane 44L","Guiana Space Center",25515,NA,15,20.97,180,2,1998-10-28,2012-08-01,2005-11-15,1998-10-28,2,2015-03-21,1998,1998,1,2013,FALSE,0
"17","2000-016A",2000,2000-03-21,2015-03-21,105,"1Worldspace","AsiaStar","Commercial","Alcatel Space Industries","Communications","Ariane 5G","Guiana Space Center",26107,NA,15,104.97,180,2,1998-10-28,2013-09-20,2005-11-15,1998-10-28,2,2015-03-21,1998,2000,0,2015,FALSE,-1
"18","2000-016A",2001,2000-03-21,2015-03-21,105,"1Worldspace","AsiaStar","Commercial","Alcatel Space Industries","Communications","Ariane 5G","Guiana Space Center",26107,NA,15,104.97,180,2,1998-10-28,2013-09-20,2005-11-15,1998-10-28,2,2015-03-21,1998,2000,1,2015,FALSE,-1
"19","2000-016A",2002,2000-03-21,2015-03-21,105,"1Worldspace","AsiaStar","Commercial","Alcatel Space Industries","Communications","Ariane 5G","Guiana Space Center",26107,NA,15,104.97,180,2,1998-10-28,2013-09-20,2005-11-15,1998-10-28,2,2015-03-21,1998,2000,1,2015,FALSE,-1
"20","2000-016A",2003,2000-03-21,2015-03-21,105,"1Worldspace","AsiaStar","Commercial","Alcatel Space Industries","Communications","Ariane 5G","Guiana Space Center",26107,NA,15,104.97,180,2,1998-10-28,2013-09-20,2005-11-15,1998-10-28,2,2015-03-21,1998,2000,1,2015,FALSE,-1
"21","2000-016A",2004,2000-03-21,2015-03-21,105,"1Worldspace","AsiaStar","Commercial","Alcatel Space Industries","Communications","Ariane 5G","Guiana Space Center",26107,NA,15,104.97,180,2,1998-10-28,2013-09-20,2005-11-15,1998-10-28,2,2015-03-21,1998,2000,1,2015,FALSE,-1
