"Name of Satellite, Alternate Names",Country of Operator/Owner,Operator/Owner,Users,Purpose,Class of Orbit,Type of Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Dry Mass (kg.),Power (watts),Date of Launch,Expected Lifetime,Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number,Comments,,Source Used for Orbital Data,Source,Source,Source,Source,Source,Source,
AAUSat-2,Denmark,University of Aalborg,Civil,Technology Development,LEO,Sun-Synchronous,,613,636,1.64E-03,97.98,97.2,3,1,,4/28/2008,,University of Aalborg,Denmark,Sriharikota Launch Station,PSLV-C9,2008-021F,32788,Establish one and two-way communication; gamma ray detector.,,SC - ASCR,http://nssdc.gsfc.nasa.gov/nmc/masterCatalog.do?sc=2008-021F,http://nssdc.gsfc.nasa.gov/spacewarn/spx654.html,,,,,
AcrimSat (Active Cavity Radiometer Irradiance Monitor),USA,"NASA Goddard Space Flight Center, Jet Propulsion Laboratory",Government,Solar Physics,LEO,Sun-Synchronous,,682,727,3.18E-03,98.2,98.86,115,13,10,12/21/1999,5 yrs.,Orbital Sciences Corp.,USA,Vandenberg AFB,Taurus,1999-070B,26033,Monitor total solar irradiance (TSI) with maximum precision; ascertain the extent of solar radiation variability.,,JMSatcat304,http://www.ee.surrey.ac.uk/SSC/SSHP/mini/mini99.html,http://nssdc.gsfc.nasa/gov/spacewarn/spx554.html,http://acrim.jpl.nasa.gov/mission/mission_facts.html,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,,,
"Advanced Mentor (NRO L-26, USA 202)",USA,National Reconnaissance Office (NRO),Military,Surveillance,GEO,,,"35,714","35,937",2.64E-03,2.89,1438.8,"5,000",,,1/18/2009,,National Reconnaissance Laboratory (?),USA,Cape Canaveral,Delta 4,2009-001A,33490,ELINT.,,SC - ASCR,http://www.globalsecurity.org/space/systems/trumpet.htm,http://www.space.com/missionlaunches/sfn-090119-delta4-spysat-launch.html,http://www.sworld.com.au/steven/space/usmil-man.txt,,,,
"Africasat-1 (Measat 1, Malaysia East Asia Sat 1)",Malaysia,MEASAT Satellite Systems Sdn. Bhd.,Commercial,Communications,GEO,,+46.03,"35,784","35,787",3.56E-05,1.12,1436.06,"1,450",650,"1,200 (BOL)",1/13/1996,12.2 yrs.,Boeing Satellite Systems,USA,Guiana Space Center,Ariane 44L,1996-002B,23765,"Inclined orbit; digital video and audio broadcasting, international and domestic VSAT and telecommunication services as well as high-speed Internet access; 12 C-band, 5 Ku-band.",,JM/12_08,http://www.boeing.com/defense-space/space/bss/factsheets/376/measat/measat.html,http://nssdc.gsfc.nasa.gov/spacewarn/spx507.html,http://www.measat.com.my/company_profile.html,http://www.measat.com/investor_calender_1401.html,,http://www.mlesat.com/Measat.html,
Afristar ,USA,WorldSpace Corp.,Commercial,Communications,GEO,,+20.97,"35,770","35,802",3.80E-04,0.03,1436.09,"2,704","1,530","5,500",10/28/1998,15 yrs.,Matra Marconi Space-France,France,Guiana Space Center,Ariane 44L,1998-063A,25515,"First WorldSpace satellite; digital audio and multi-media communications  to Africa, Middle East, Asia, Latin America and Caribbean.",,JM/12_08,www.floridatoday.com/space/explore/stories/1998b/102898ac.htm,http://www.worldspace.com/coveragemaps/afristar.html,http://interglobal.org/frontier/10-30-98.html,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,,,
Agila 2 (Mabuhay 1),Philippines,Mabuhay Philippines Satellite Corp.,Commercial,Communications,GEO,,+146.06,"35,769","35,802",3.91E-04,0.05,1436.07,"3,775","1,800","9,000",8/19/1997,15 yrs.,Space Systems/Loral,USA,Xichang Satellite Launch Center,Long March CZ-3B,1997-042A,24901,"Most powerful telecommunications satellite in service in the Asia-Pacific region; 30 C-band, 24 Ku-band transponders; 190 high fidelity channels and 50,000 simultaneous telephone links.",,JM/12_08,http://www.mabuhaysat.com/sat&net.html,http://nssdc.gsfc.nasa.gov/spacewarn/spx526.html,,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,,,
AGILE (Astro-rivelatore Gamma a Immagini Leggaro),Italy,Italian Space Agency,Government,Scientific Research,LEO,,,523,553,2.17E-03,2.47,95.4,325,,,4/23/2007,3 yrs.,Carlo Gavazzi Space,Italy,Satish Dhawan Space Center,PSLV-C8,2007-013A,31135,Italian gamma ray observatory.,,,http://agile.rm.iasf.cnr.it/,http://www.lib.cas.cz/www/space.40/2007/013A.HTM,,,,,
AIM (Aeronomy of Ice in Mesosphere),USA,"Center for Atmospheric Sciences, Hampton University/NASA",Government,Earth Science,LEO,,,586,601,1.08E-03,97.79,96.55,215,197,216,4/25/2007,2 yrs.,Orbital Sciences Corp.,USA,Vandenberg AFB,Pegasus XL,2007-015A,31304,Study noctilucent clouds (NLC) in the polar mesosphere.,,,http://aim.hamptonu.edu/,http://www.lib.cas.cz/www/space.40/2007/015A.HTM,http://www.nasa.gov/mission_pages/aim/index.html,,,,
Akebono (EXOS-D),Japan,"Institute of Space and Aeronautical Science, University of Tokyo",Civil,Space Physics,Elliptical,,,264,"5,732",2.92E-01,75.1,150.4,,294,270 (EOL),2/21/1989,1 yr.,"Institute of Space and Aeronautical Science, University of Tokyo",Japan,Uchinoura Space Center,Mu 3S2,1989-016A,19822,Investigate particle acceleration regions above auroral region; develop better understanding of acceleration mechanism and relation to substorm phenomena.,,JMSatcat304,http://www.rolfisoft.de/html/satdb_1989_eng.html,http://nssdc.gsfc.nasa.gov/database/MasterCatalog?sc=1989-016A,http://www.jaxa.jp/missions/projects/sat/geospace/akebono/index_e.html,,,,
ALOS (Advanced Land Observing Satellite; Daichi),Japan,Earth Observation Research and Application Center/JAXA,Government,Earth Observation,LEO,Sun-Synchronous,,697,700,2.12E-04,98.2,98.74,"4,000",,"7,000",1/24/2006,3-5 yrs.,Japan Aerospace Exploration Agency (JAXA),Japan,Tanegashima Space Center,H-2A,2006-002A,28931,Cartographic and disaster monitoring functions.,,JMSatcat206,http://www.jaxa.jp/missions/projects/sat/eos/alos/index_e.html,http://www.isprs.org/istanbul2004/comm1/papers/57.pdf,http://nssdc.gsfc.nasa/gov/spacewarn/spx482.html,,,,
