"Name of Satellite, Alternate Names",Country/Org of UN Registry,Country of Operator/Owner,Operator/Owner,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Dry Mass (kg.),Power (watts),Date of Launch,Expected Lifetime,Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number,Comments,
Aalto-1 ,NR (10/17),Finland,University of Aalto,Civil,Technology Development,,LEO,,0,497,517,1.45E-03,97.45,94.7,5,,4.5,06/23/17,2 yrs.,University of Aalto,Finland,Satish Dhawan Space Centre,PSLV,2017-036L,42775,Technology development and education.,
AAUSat-4,NR (12/16),Denmark,University of Aalborg,Civil,Earth Observation,Automatic Identification System (AIS),LEO,Sun-Synchronous,0,442,687,1.77E-02,98.2,95.9,1,,,04/25/16,,University of Aalborg,Denmark,Guiana Space Center,Soyuz 2.1a,2016-025E,41460,Carries AIS system.,
"ABS-2 (Koreasat-8, ST-3)",NR,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,,GEO,,75,35778,35793,1.78E-04,0.08,1436.03,6330,,16000,02/06/14,15 yrs.,Space Systems/Loral,USA,Guiana Space Center,Ariane  5 ECA,2014-006A,39508,"32 C-band, 51 Ku-band, and 6 Ka-band transponders. $214 million lawsuit for bad beam.",
ABS-2A,NR (12/16),Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,,GEO,,-75,35700,35700,0.00E+00,0,1436.1,1800,,,06/15/16,15 yrs.,Boeing Satellite Systems,USA,Cape Canaveral,Falcon 9,2016-038A,41588,,
"ABS-3 (Agila 2, Mabuhay 1)",Philippines,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,,GEO,,146.06,35769,35802,3.91E-04,0.05,1436.07,3775,1800,9000,08/19/97,15 yrs.,Space Systems/Loral,USA,Xichang Satellite Launch Center,Long March CZ3B,1997-042A,24901,"Most powerful telecommunications satellite in service in the Asia-Pacific region; 30 C-band, 24 Ku-band transponders; 190 high fidelity channels and 50,000 simultaneous telephone links.",
ABS-3A ,NR,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,,GEO,,-3,35788,35803,1.78E-04,0.1,1436,2000,,,03/02/15,15 yrs.,Boeing Satellite Systems,USA,Cape Canaveral,Falcon 9,2015-010A,40424,Coverage of Americas Europe and Africa.,
"ABS-4 (ABS-2i, MBSat, Mobile Broadcasting Satellite, Han Byul)",NR,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,,GEO,,75,35780,35793,1.54E-04,0.01,1436.1,4143,1700,7400,03/13/04,12 yrs.,Space Systems/Loral,USA,Cape Canaveral,Atlas 3,2004-007A,28184,Purchased by ABS in 2013.,
"ABS-6 (ABS-1, LMI-1, Lockheed Martin-Intersputnik-1)",NR,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,,GEO,,159,35777,35794,2.02E-04,0.01,1436.08,2894,1730,"6,800 (EOL)",09/26/99,15 yrs.,Lockheed Martin,USA,Baikonur Cosmodrome,Proton,1999-053A,25924,"28 C-band, 16 Ku-band; business services, public voice and data services, broadcasting, direct-to-home; Eastern Europe, CIS, South and Southeast Asia, Africa, Middle East, Australia.",
"ABS-7 (Koreasat 3, Mugungwha 3)",South Korea,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,,GEO,,116.18,35780,35791,1.30E-04,0.01,1436.06,3500,1800,4800,09/04/99,15 yrs.,Lockheed Martin Astro Space,USA,Guiana Space Center,Ariane,1999-046A,25894,"30 Ku-band, 6 Ka-band; Korean peninsula, the Japanese archipelago, and parts of China and Russia.",
"Advanced Orion 2 (Mentor, NROL 6, USA 139)",USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Electronic Intelligence,GEO,,-26,35560,36013,5.37E-03,7.72,1436.14,4500,,,05/09/98,,TRW Space and Electronics,USA,Cape Canaveral,Titan IVA,1998-029A,25336,ELINT.,
"Advanced Orion 3 (Mentor, NROL 19, USA 171)",USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Electronic Intelligence,GEO,,95.4,35589,35984,4.68E-03,3.2,1436.1,4500,,,09/09/03,,TRW Space and Electronics,USA,Cape Canaveral,Titan IV,2003-041A,27937,Electronic intelligence (ELINT). ,
"Advanced Orion 4 (Mentor, NRO L-26, USA 202)",USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Electronic Intelligence,GEO,,44,35714,35937,2.64E-03,2.89,1438.8,5000,,,01/18/09,,National Reconnaissance Laboratory (?),USA,Cape Canaveral,Delta 4 Heavy,2009-001A,33490,ELINT.,
"Advanced Orion 5 (Mentor, NRO L-32, USA 223)",USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Electronic Intelligence,GEO,,100.9,35500,35500,0.00E+00,0,1436,5000,,,11/21/10,,National Reconnaissance Laboratory (?),USA,Cape Canaveral,Delta 4 Heavy,2010-063A,37232,ELINT.,
"Advanced Orion 6 (Mentor, NRO L-15, USA 237)",USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Electronic Intelligence,GEO,,60,35771,35805,4.03E-04,0,1436.1,5000,,,06/29/12,,National Reconnaissance Laboratory(?),USA,Cape Canaveral,Delta 4 Heavy,2012-034A,38528,ELINT.,
"Advanced Orion 7 (Mentor, NRO L-37, USA 268)",NR (12/16),USA,National Reconnaissance Office (NRO),Military,Earth Observation,Electronic Intelligence,GEO,,102.6,35613,35903,3.44E-03,7.51,1437.19,5000,,,06/11/16,,National Reconnaissance Laboratory(?),USA,Cape Canaveral,Delta 4 Heavy,2016-036A,41584,ELINT.,
"AEHF-2 (Advanced Extremely High Frequency satellite-2, USA 235)",USA,USA,US Air Force,Military,Communications,,GEO,,-120,35772,35801,3.44E-04,2.34,1436.1,6169,,,05/03/12,14 yrs.,Lockheed Martin Space Systems,USA,Cape Canaveral,Atlas 5,2012-019A,38254,Second in constellation.,
"AEHF-3 (Advanced Extremely High Frequency satellite-3, USA 246)",NR,USA,US Air Force,Military,Communications,,GEO,,,35700,35803,1.22E-03,4.2,1436.1,6169,,,09/18/13,14 yrs.,Lockheed Martin Space Systems,USA,Cape Canaveral,Atlas 5,2013-050A,39256,Third in constellation.,
Aeneas,USA,USA,Department of Homeland Security,Government,Technology Development,,LEO,Equatorial,0,480,790,2.21E-02,0.02,97.4,3,,,09/13/12,,University of Southern California,USA,Vandenberg AFB,Atlas 5,2012-048C,38760,Demonsration program to track cargo containers worldwide.,
Aerocube 4.5A,USA,USA,Aerospace Corporation,Commercial,Technology Development,,LEO,Non-Polar Inclined,0,495,791,2.11E-02,64.6,97.5,5,,,09/13/12,,Aerospace Corporation,USA,Vandenberg AFB,Atlas 5,2012-048K,38767,,
