"Name of Satellite, Alternate Names",Current Official Name of Satellite,Country of Operator/Owner,Operator/Owner,Users,Purpose,Class of Orbit,Type of Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Dry Mass (kg.),Power (watts),Date of Launch,Expected Lifetime,Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number,Comments,,Source Used for Orbital Data,Source,Source,Source,Source,Source,Source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAUSat-3,AAUSat-3,Denmark,Aalborg University,Civil,Technology Development,LEO,,0,770,787,1.19E-03,98.63,100.42,1,,,2/25/2013,<1 yr.,Aalborg University,Denmark,Satish Dhawan SpaceCenter,PSLV,2013-009B,39087,,,SC - ASCR,https://directory.eoportal.org/web/eoportal/satellite-missions/a/aausat3,http://www.pe0sat.vgnet.nl/satellite/cube-nano-picosats/aausat3/,http://space50.kosmo.cz/s40/2013/INDEX1.HTM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ABS-1 (LMI-1, Lockheed Martin-Intersputnik-1)",ABS-1,International,Asia Broadcast Satellite,Commercial,Communications,GEO,,75.03,"35,777","35,794",2.02E-04,0.01,1436.08,"2,894","1,730","6,800 (EOL)",9/26/1999,15 yrs.,Lockheed Martin,USA,Baikonur Cosmodrome,Proton,1999-053A,25924,"28 C-band, 16 Ku-band; business services, public voice and data services, broadcasting, direct-to-home; Eastern Europe, CIS, South and Southeast Asia, Africa, Middle East, Australia.",,JM/12_08,http://www.washingtonpost.com/wp-dyn/articles/A18888-2004May11.html,http://nssdc.gsfc.nasa.gov/spacewarn/spx551.html,http://www.interpsputnik.com/1mi1chars.shtml,http://www.intersputnik.com/press_270999.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ABS-1A (Koreasat 2, Mugunghwa 2, ABS-1A)",ABS-1A,International,Asia Broadcast Satellite,Commercial,Communications,GEO,,116.54,"35,785","35,789",4.74E-05,1.86,1436.13,"1,459",800,"1,600",1/14/1996,10 yrs.,Lockheed Martin Astro Space,USA,Cape Canaveral,Delta 2,1996-003A,23768,Korean peninsula; 15 Ku-band transponders.,,JM/12_08,http://nssdc.gsfc.nasa.gov/database/MasterCatalog?sc=1996-003A,http://nssdc.gsfc.nasa.gov/spacewarn/spx507.html,http://www.kt.co.kr/eng/biz_info/satellite_biz/system/koreasat2.html,http://strategis.ic.gc.ca/epic/internet/inimr-ri.nsf/fr/gr-76375f.html,http://www.oosa.unvienna.org/Reports/Regdocs/ser304E.pdf,http://www.absatellite.net/about/index.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ABS-7 (Koreasat 3, Mugungwha 3)",ABS-7,International,Asia Broadcast Satellite,Commercial,Communications,GEO,,116.18,"35,780","35,791",1.30E-04,0.01,1436.06,"3,500","1,800","4,800",9/4/1999,15 yrs.,Lockheed Martin Astro Space,USA,Guiana Space Center,Ariane,1999-046A,25894,"30 Ku-band, 6 Ka-band; Korean peninsula, the Japanese archipelago, and parts of China and Russia.",,JM/12_08,http://www.planet4589.org/space/jsr/back/news.407,http://lmms.external.lmco.com/newsbureau/pressreleases/1999/99.202.html,http://www.kt.co.kr/eng/biz_info/satellite_biz/system/koreasat3.html,,,http://www.absatellite.net/about/index.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AcrimSat (Active Cavity Radiometer Irradiance Monitor),Active Cavity Radiometer Irradiance Monitor (AcrimSat),USA,"NASA Goddard Space Flight Center, Jet Propulsion Laboratory",Government,Solar Physics,LEO,Sun-Synchronous,0,670,710,2.83E-03,97.8,98.6,115,13,10,12/21/1999,5 yrs.,Orbital Sciences Corp.,USA,Vandenberg AFB,Taurus,1999-070B,26033,Monitor total solar irradiance (TSI) with maximum precision; ascertain the extent of solar radiation variability.,,www.satellitedebris.net 12/12,http://www.ee.surrey.ac.uk/SSC/SSHP/mini/mini99.html,http://nssdc.gsfc.nasa/gov/spacewarn/spx554.html,http://acrim.jpl.nasa.gov/mission/mission_facts.html,http://perso.wanadoo.fr/eurospace/espdatabase/index.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Advanced Orion 2 (NROL 6, USA 139)",USA 139,USA,National Reconnaissance Office (NRO),Military,Electronic Surveillance,GEO,,-14.5,"35,560","36,013",5.37E-03,7.72,1436.14,"4,500",,,5/9/1998,,TRW Space and Electronics,USA,Cape Canaveral,Titan IVA,1998-029A,25336,ELINT.,,JM/12_08,http://www.sciencepresse.qc.ca/clafleur/Spacecrafts-1998.html#Orion,http://globalsecurity.org/space/library/report/2005/satellitetables2004.htm,http://www.msnbc.com/news/185953.asp#BODY,http://www.lib.cas.cz/www/space.40/1990/097B.HTM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Advanced Orion 3 (NROL 19, USA 171)",USA 171,USA,National Reconnaissance Office (NRO),Military,Electronic Surveillance,GEO,,95.4,"35,589","35,984",4.68E-03,3.2,1436.1,"4,500",,,9/9/2003,,TRW Space and Electronics,USA,Cape Canaveral,Titan IV,2003-041A,27937,Electronic intelligence (ELINT). ,,JM/12_08,http://www.sciencepresse.qc.ca/clafleur/Spacecrafts-2003.html,http://nssdc.gsfc.nasa.gov/spacewarn/spx599.html,http://www.fsri.org/FSRI%20Archives/Aerospace%20News/Aerospace%20Update%2009-15-03.pdf,http://globalsecurity.org/space/library/report/2005/satellitetables2004.htm,http://www.lib.cas.cz/knav/space.40/2003/041A.HTM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Advanced Orion 4 (NRO L-26, USA 202)",USA 202,USA,National Reconnaissance Office (NRO),Military,Electronic Surveillance,GEO,,44,"35,714","35,937",2.64E-03,2.89,1438.8,"5,000",,,1/18/2009,,National Reconnaissance Laboratory (?),USA,Cape Canaveral,Delta 4 Heavy,2009-001A,33490,ELINT.,,SC - ASCR,http://www.globalsecurity.org/space/systems/trumpet.htm,http://www.space.com/missionlaunches/sfn-090119-delta4-spysat-launch.html,http://www.sworld.com.au/steven/space/usmil-man.txt,http://www.nasaspaceflight.com/2010/11/live-delta-iv-heavy-launch-with-nrol-3/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Advanced Orion 5 (NRO L-32, USA 223)",USA 223,USA,National Reconnaissance Office (NRO),Military,Electronic Surveillance,GEO,,100.9,"35,500","35,500",0.00E+00,0,,"5,000",,,11/21/2010,,National Reconnaissance Laboratory (?),USA,Cape Canaveral,Delta 4 Heavy,2010-063A,37232,ELINT.,,SC - ASCR,http://forum.nasaspaceflight.com/index.php?topic=11127.45,http://www.space.com/missionlaunches/sfn-090119-delta4-spysat-launch.html,http://www.sworld.com.au/steven/space/usmil-man.txt,http://www.nasaspaceflight.com/2010/11/live-delta-iv-heavy-launch-with-nrol-3/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Advanced Orion 6 (NRO L-15, USA 237)",USA 237,USA,National Reconnaissance Office (NRO),Military,Electronic Surveillance,GEO,,60,"35,771","35,805",4.03E-04,0,23.94,"5,000",,,6/29/2012,,National Reconnaissance Laboratory(?),USA,Cape Canaveral,Delta 4 Heavy,2012-034A,38528,ELINT.,,CalSky,http://www.nasaspaceflight.com/2012/06/delta-iv-heavy-launch-nrol-15-cape-canaveral/,http://www.nasaspaceflight.com/2012/06/delta-iv-heavy-launch-nrol-15-cape-canaveral/,http://www.calsky.com/observer//tle.cgi?satid=12034A&tdt=2456146.41756944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
